Ticker,EPS_accel,EPS_YoY_Q0,EPS_YoY_Q1,Rev_accel,Rev_YoY_Q0,Rev_YoY_Q1,asof,periods
5802,Y,55.9,29.3,Y,7.1,5.6,2026-02-03,8
5816,Y,-45.6,-47.1,Y,-0.8,-3.2,2026-02-10,8
5821,Y,75.6,70.9,Y,21.6,12.9,2026-02-03,8
5885,Y,28.6,-70.5,Y,-22.8,-24.1,2026-01-14,8
5989,Y,-28.7,-37.5,Y,-14.5,-14.8,2026-02-12,8
6013,Y,20.7,-1.6,Y,7.0,3.0,2026-02-13,8
6134,Y,98.2,80.3,Y,36.0,26.3,2026-02-10,8
6140,Y,52.3,39.0,Y,-0.4,-1.0,2026-02-10,8
6217,Y,-153.7,-4015.6,Y,-2.7,-5.2,2026-01-16,8
6226,Y,50.7,43.7,Y,21.6,18.1,2026-02-10,8
6335,Y,-116.0,-408.1,Y,-11.9,-28.1,2026-02-12,8
6366,Y,296.2,26.1,Y,12.2,-18.0,2026-02-10,8
6371,Y,11.1,4.4,Y,1.4,-0.5,2026-02-06,8
6407,Y,-6.8,-15.2,Y,-2.7,-4.1,2026-02-13,8
6419,Y,-23.7,-29.9,Y,-27.5,-34.4,2026-01-30,8
6479,Y,13.6,10.4,Y,7.3,0.0,2026-02-05,8
6480,Y,32800.0,2318.0,Y,13.3,13.3,2026-02-09,8
6494,Y,344.8,90.4,Y,73.9,-8.2,2026-02-13,8
6526,Y,-70.4,-81.9,Y,-2.2,-12.1,2026-01-30,8
6574,Y,132.1,110.3,Y,292.8,154.7,2026-02-13,8
6594,Y,-58.6,-108.4,Y,0.7,-1.6,2025-11-14,7
6703,Y,273.1,-75.3,Y,-8.1,-9.2,2026-02-05,8
6723,Y,-123.4,-134.1,Y,-2.0,-8.2,2026-02-05,8
6744,Y,9.2,-16.6,Y,4.6,4.6,2026-02-12,8
6762,Y,12.6,5.3,Y,11.3,8.6,2026-02-02,8
6785,Y,25.8,11.5,Y,18.6,14.6,2026-02-09,8
6806,Y,-9.4,-11.3,Y,8.4,7.9,2026-02-03,8
6817,Y,509.5,114.2,Y,2.2,-1.3,2026-02-06,8
6824,Y,40.8,33.8,Y,24.6,21.9,2026-02-13,8
6840,Y,633.3,285.3,Y,38.2,20.6,2026-02-13,8
6844,Y,956.1,322.9,Y,8.0,7.3,2026-02-09,8
6850,Y,-52.4,-63.1,Y,9.2,7.8,2026-02-10,8
6859,Y,-13.6,-22.1,Y,1.7,-0.5,2026-02-12,8
6861,Y,6.6,5.4,Y,7.7,5.8,2026-01-29,8
6882,Y,-83.2,-123.5,Y,1.4,-0.0,2026-01-30,8
6946,Y,120.0,86.5,Y,44.3,39.5,2026-01-30,8
6952,Y,263.6,126.6,Y,6.2,-3.1,2026-01-29,8
6963,Y,6881.8,398.7,Y,7.2,5.3,2026-02-04,8
6971,Y,442.5,54.7,Y,2.0,-0.7,2026-02-02,8
6993,Y,46.3,33.1,Y,4.4,-0.5,2026-02-13,8
6997,Y,8497.0,245.1,Y,10.3,7.2,2026-02-09,8
6998,Y,-0.2,-14.4,Y,-0.7,-4.1,2026-02-05,8
6999,Y,572.2,301.6,Y,11.2,8.6,2026-01-28,8
7003,Y,-27.5,-45.4,Y,15.7,14.1,2026-02-10,8
7014,Y,-31.9,-42.7,Y,-4.5,-7.2,2026-02-12,8
7205,Y,111.5,110.2,Y,-10.9,-12.4,2026-02-05,8
7213,Y,-31.5,-129.6,Y,-1.8,-19.6,2026-02-09,8
7269,Y,-1.7,-11.3,Y,5.4,0.3,2026-02-05,8
7375,Y,-2.9,-92.2,Y,0.3,-3.6,2026-02-13,8
7376,Y,-349.3,-1163.9,Y,21.7,5.9,2026-02-13,8
7456,Y,37.8,31.8,Y,37.1,29.7,2026-02-13,8
7678,Y,-40.0,-64.6,Y,12.2,8.5,2025-12-10,8
7713,Y,-5.3,-25.6,Y,-2.0,-5.6,2026-01-09,8
7715,Y,-21.9,-24.3,Y,-2.3,-9.1,2026-02-10,8
7717,Y,2351.9,-11.0,Y,0.7,-11.6,2026-02-10,8
7719,Y,99.4,45.9,Y,35.4,22.9,2026-01-14,8
7725,Y,-71.4,-90.9,Y,-47.3,-55.5,2026-01-09,8
7762,Y,0.0,-3.3,Y,6.4,1.7,2026-02-12,8
7915,Y,-73.6,-88.4,Y,-0.4,-2.1,2026-02-12,8
7952,Y,370.0,96.7,Y,-2.1,-2.7,2026-02-12,8
7980,Y,-27.4,-107.0,Y,7.8,2.2,2026-02-05,8
7995,Y,28.2,27.6,Y,-6.0,-10.0,2026-02-04,8
8050,Y,58.6,44.0,Y,9.3,6.3,2026-02-10,8
8151,Y,9.6,-50.8,Y,6.8,-7.1,2026-02-13,8
8289,Y,-694.3,-25872.4,Y,-0.1,-1.3,2026-01-13,8
8362,Y,-7.0,-58.8,Y,17.7,16.0,2026-02-03,8
8370,Y,35.4,19.6,Y,21.4,15.5,2026-02-02,8
